city,parameter,value,date
Bucharest,pm10,40.2,2024-01-01
Bucharest,pm10,41.0,2024-01-02
Bucharest,pm10,41.8,2024-01-03
Bucharest,pm10,42.5,2024-01-04
Bucharest,pm10,43.1,2024-01-05
Bucharest,pm25,30.5,2024-01-01
Bucharest,pm25,31.0,2024-01-02
Bucharest,pm25,31.8,2024-01-03
Bucharest,pm25,32.4,2024-01-04
Bucharest,pm25,33.0,2024-01-05
Cluj,pm10,25.3,2024-01-01
Cluj,pm10,25.9,2024-01-02
Cluj,pm10,26.4,2024-01-03
Cluj,pm10,26.8,2024-01-04
Cluj,pm10,27.2,2024-01-05
Cluj,pm25,15.2,2024-01-01
Cluj,pm25,15.0,2024-01-02
Cluj,pm25,15.5,2024-01-03
Cluj,pm25,16.1,2024-01-04
Cluj,pm25,16.4,2024-01-05
Timisoara,pm10,20.1,2024-01-01
Timisoara,pm10,20.8,2024-01-02
Timisoara,pm10,21.5,2024-01-03
Timisoara,pm10,22.0,2024-01-04
Timisoara,pm10,22.7,2024-01-05
Timisoara,pm25,12.5,2024-01-01
Timisoara,pm25,13.1,2024-01-02
Timisoara,pm25,13.8,2024-01-03
Timisoara,pm25,14.0,2024-01-04
Timisoara,pm25,14.4,2024-01-05
