city,parameter,value,date
Brasov,no2,25.46,2024-01-01
Brasov,no2,22.43,2024-01-02
Brasov,no2,21.35,2024-01-03
Brasov,no2,28.05,2024-01-04
Brasov,no2,24.55,2024-01-05
Brasov,no2,25.12,2024-01-06
Brasov,no2,26.64,2024-01-07
Brasov,no2,22.92,2024-01-08
Brasov,no2,26.36,2024-01-09
Brasov,no2,23.99,2024-01-10
Brasov,no2,26.06,2024-01-11
Brasov,no2,24.05,2024-01-12
Brasov,no2,25.15,2024-01-13
Brasov,no2,24.27,2024-01-14
Brasov,no2,23.63,2024-01-15
Brasov,no2,22.58,2024-01-16
Brasov,no2,26.43,2024-01-17
Brasov,no2,25.64,2024-01-18
Brasov,no2,28.64,2024-01-19
Brasov,no2,22.28,2024-01-20
Brasov,no2,27.48,2024-01-21
Brasov,no2,26.11,2024-01-22
Brasov,no2,27.54,2024-01-23
Brasov,no2,24.07,2024-01-24
Brasov,no2,26.37,2024-01-25
Brasov,no2,24.97,2024-01-26
Brasov,no2,23.93,2024-01-27
Brasov,no2,25.23,2024-01-28
Brasov,no2,23.92,2024-01-29
Brasov,no2,26.83,2024-01-30
Brasov,no2,26.12,2024-01-31
Brasov,no2,23.94,2024-02-01
Brasov,no2,22.8,2024-02-02
Brasov,no2,27.94,2024-02-03
Brasov,no2,26.13,2024-02-04
Brasov,no2,26.8,2024-02-05
Brasov,no2,24.77,2024-02-06
Brasov,no2,22.76,2024-02-07
Brasov,no2,29.09,2024-02-08
Brasov,no2,26.91,2024-02-09
Brasov,no2,18.77,2024-02-10
Brasov,no2,22.6,2024-02-11
Brasov,no2,25.13,2024-02-12
Brasov,no2,21.82,2024-02-13
Brasov,no2,24.05,2024-02-14
Brasov,no2,25.51,2024-02-15
Brasov,no2,25.75,2024-02-16
Brasov,no2,22.71,2024-02-17
Brasov,no2,25.35,2024-02-18
Brasov,no2,26.07,2024-02-19
Brasov,no2,23.91,2024-02-20
Brasov,no2,22.04,2024-02-21
Brasov,no2,23.57,2024-02-22
Brasov,no2,24.09,2024-02-23
Brasov,no2,24.55,2024-02-24
Brasov,no2,25.53,2024-02-25
Brasov,no2,27.88,2024-02-26
Brasov,no2,21.63,2024-02-27
Brasov,no2,22.86,2024-02-28
Brasov,no2,22.73,2024-02-29
Brasov,pm10,16.1,2024-01-01
Brasov,pm10,11.99,2024-01-02
Brasov,pm10,12.97,2024-01-03
Brasov,pm10,10.81,2024-01-04
Brasov,pm10,15.39,2024-01-05
Brasov,pm10,12.24,2024-01-06
Brasov,pm10,15.2,2024-01-07
Brasov,pm10,9.62,2024-01-08
Brasov,pm10,13.32,2024-01-09
Brasov,pm10,12.45,2024-01-10
Brasov,pm10,12.09,2024-01-11
Brasov,pm10,17.63,2024-01-12
Brasov,pm10,13.23,2024-01-13
Brasov,pm10,13.16,2024-01-14
Brasov,pm10,13.0,2024-01-15
Brasov,pm10,13.52,2024-01-16
Brasov,pm10,13.05,2024-01-17
Brasov,pm10,14.31,2024-01-18
Brasov,pm10,12.28,2024-01-19
Brasov,pm10,11.21,2024-01-20
Brasov,pm10,9.66,2024-01-21
Brasov,pm10,14.24,2024-01-22
Brasov,pm10,13.89,2024-01-23
Brasov,pm10,12.69,2024-01-24
Brasov,pm10,12.57,2024-01-25
Brasov,pm10,7.82,2024-01-26
Brasov,pm10,13.01,2024-01-27
Brasov,pm10,11.18,2024-01-28
Brasov,pm10,13.33,2024-01-29
Brasov,pm10,13.84,2024-01-30
Brasov,pm10,11.07,2024-01-31
Brasov,pm10,13.5,2024-02-01
Brasov,pm10,12.79,2024-02-02
Brasov,pm10,10.79,2024-02-03
Brasov,pm10,10.16,2024-02-04
Brasov,pm10,14.04,2024-02-05
Brasov,pm10,15.01,2024-02-06
Brasov,pm10,13.79,2024-02-07
Brasov,pm10,17.13,2024-02-08
Brasov,pm10,11.41,2024-02-09
Brasov,pm10,14.36,2024-02-10
Brasov,pm10,14.57,2024-02-11
Brasov,pm10,12.19,2024-02-12
Brasov,pm10,10.36,2024-02-13
Brasov,pm10,13.39,2024-02-14
Brasov,pm10,16.13,2024-02-15
Brasov,pm10,12.19,2024-02-16
Brasov,pm10,11.44,2024-02-17
Brasov,pm10,11.72,2024-02-18
Brasov,pm10,13.21,2024-02-19
Brasov,pm10,12.67,2024-02-20
Brasov,pm10,13.48,2024-02-21
Brasov,pm10,11.56,2024-02-22
Brasov,pm10,12.67,2024-02-23
Brasov,pm10,15.44,2024-02-24
Brasov,pm10,12.48,2024-02-25
Brasov,pm10,13.67,2024-02-26
Brasov,pm10,13.79,2024-02-27
Brasov,pm10,14.39,2024-02-28
Brasov,pm10,13.8,2024-02-29
Brasov,pm25,27.01,2024-01-01
Brasov,pm25,23.72,2024-01-02
Brasov,pm25,26.15,2024-01-03
Brasov,pm25,28.53,2024-01-04
Brasov,pm25,25.68,2024-01-05
Brasov,pm25,28.37,2024-01-06
Brasov,pm25,23.79,2024-01-07
Brasov,pm25,26.31,2024-01-08
Brasov,pm25,23.69,2024-01-09
Brasov,pm25,25.11,2024-01-10
Brasov,pm25,24.15,2024-01-11
Brasov,pm25,28.93,2024-01-12
Brasov,pm25,22.72,2024-01-13
Brasov,pm25,23.01,2024-01-14
Brasov,pm25,28.86,2024-01-15
Brasov,pm25,23.89,2024-01-16
Brasov,pm25,25.95,2024-01-17
Brasov,pm25,24.08,2024-01-18
Brasov,pm25,27.78,2024-01-19
Brasov,pm25,26.13,2024-01-20
Brasov,pm25,23.15,2024-01-21
Brasov,pm25,26.51,2024-01-22
Brasov,pm25,28.58,2024-01-23
Brasov,pm25,23.67,2024-01-24
Brasov,pm25,27.29,2024-01-25
Brasov,pm25,26.76,2024-01-26
Brasov,pm25,25.88,2024-01-27
Brasov,pm25,29.16,2024-01-28
Brasov,pm25,25.22,2024-01-29
Brasov,pm25,23.5,2024-01-30
Brasov,pm25,26.5,2024-01-31
Brasov,pm25,25.99,2024-02-01
Brasov,pm25,24.61,2024-02-02
Brasov,pm25,27.21,2024-02-03
Brasov,pm25,23.78,2024-02-04
Brasov,pm25,24.32,2024-02-05
Brasov,pm25,23.9,2024-02-06
Brasov,pm25,22.42,2024-02-07
