city,parameter,value,date
Brasov,pm25,10.3,2024-01-01
Brasov,pm25,10.6,2024-01-02
Brasov,pm25,10.9,2024-01-03
Brasov,pm25,11.2,2024-01-04
Brasov,pm25,11.5,2024-01-05
Brasov,pm25,11.8,2024-01-06
Brasov,pm25,12.1,2024-01-07
Brasov,pm25,12.4,2024-01-08
Brasov,pm25,12.7,2024-01-09
Brasov,pm25,13.0,2024-01-10
Brasov,pm25,13.3,2024-01-11
Brasov,pm25,13.6,2024-01-12
Brasov,pm25,13.9,2024-01-13
Brasov,pm25,14.2,2024-01-14
Brasov,pm25,14.5,2024-01-15
Brasov,pm25,14.8,2024-01-16
Brasov,pm25,15.1,2024-01-17
Brasov,pm25,15.4,2024-01-18
Brasov,pm25,15.7,2024-01-19
Brasov,pm25,16.0,2024-01-20
Brasov,pm25,16.3,2024-01-21
Brasov,pm25,16.6,2024-01-22
Brasov,pm25,16.9,2024-01-23
Brasov,pm25,17.2,2024-01-24
Brasov,pm25,17.5,2024-01-25
Brasov,pm25,17.8,2024-01-26
Brasov,pm25,18.1,2024-01-27
Brasov,pm25,18.4,2024-01-28
Brasov,pm25,18.7,2024-01-29
Brasov,pm25,19.0,2024-01-30
Bucharest,pm25,10.3,2024-01-01
Bucharest,pm25,10.3,2024-01-01
Bucharest,pm25,10.3,2024-01-01
Bucharest,pm25,10.6,2024-01-02
Bucharest,pm25,10.6,2024-01-02
Bucharest,pm25,10.6,2024-01-02
Bucharest,pm25,10.9,2024-01-03
Bucharest,pm25,10.9,2024-01-03
Bucharest,pm25,10.9,2024-01-03
Bucharest,pm25,11.2,2024-01-04
Bucharest,pm25,11.2,2024-01-04
Bucharest,pm25,11.2,2024-01-04
Bucharest,pm25,11.5,2024-01-05
Bucharest,pm25,11.5,2024-01-05
Bucharest,pm25,11.5,2024-01-05
Bucharest,pm25,11.8,2024-01-06
Bucharest,pm25,11.8,2024-01-06
Bucharest,pm25,11.8,2024-01-06
Bucharest,pm25,12.1,2024-01-07
Bucharest,pm25,12.1,2024-01-07
Bucharest,pm25,12.1,2024-01-07
Bucharest,pm25,12.4,2024-01-08
Bucharest,pm25,12.4,2024-01-08
Bucharest,pm25,12.4,2024-01-08
Bucharest,pm25,12.7,2024-01-09
Bucharest,pm25,12.7,2024-01-09
Bucharest,pm25,12.7,2024-01-09
Bucharest,pm25,13.0,2024-01-10
Bucharest,pm25,13.0,2024-01-10
Bucharest,pm25,13.0,2024-01-10
Bucharest,pm25,13.3,2024-01-11
Bucharest,pm25,13.3,2024-01-11
Bucharest,pm25,13.3,2024-01-11
Bucharest,pm25,13.6,2024-01-12
Bucharest,pm25,13.6,2024-01-12
Bucharest,pm25,13.6,2024-01-12
Bucharest,pm25,13.9,2024-01-13
Bucharest,pm25,13.9,2024-01-13
Bucharest,pm25,13.9,2024-01-13
Bucharest,pm25,14.2,2024-01-14
Bucharest,pm25,14.2,2024-01-14
Bucharest,pm25,14.2,2024-01-14
Bucharest,pm25,14.5,2024-01-15
Bucharest,pm25,14.5,2024-01-15
Bucharest,pm25,14.5,2024-01-15
Bucharest,pm25,14.8,2024-01-16
Bucharest,pm25,14.8,2024-01-16
Bucharest,pm25,14.8,2024-01-16
Bucharest,pm25,15.1,2024-01-17
Bucharest,pm25,15.1,2024-01-17
Bucharest,pm25,15.1,2024-01-17
Bucharest,pm25,15.4,2024-01-18
Bucharest,pm25,15.4,2024-01-18
Bucharest,pm25,15.4,2024-01-18
Bucharest,pm25,15.7,2024-01-19
Bucharest,pm25,15.7,2024-01-19
Bucharest,pm25,15.7,2024-01-19
Bucharest,pm25,16.0,2024-01-20
Bucharest,pm25,16.0,2024-01-20
