city,parameter,value,date
Brasov,pm10,27.49,2024-01-01
Brasov,pm10,22.73,2024-01-02
Brasov,pm10,27.45,2024-01-03
Brasov,pm10,24.06,2024-01-04
Brasov,pm10,23.17,2024-01-05
Brasov,pm10,25.82,2024-01-06
Brasov,pm10,24.79,2024-01-07
Brasov,pm10,23.22,2024-01-08
Brasov,pm10,26.85,2024-01-09
Brasov,pm10,23.81,2024-01-10
Brasov,pm10,27.71,2024-01-11
Brasov,pm10,25.22,2024-01-12
Brasov,pm10,25.5,2024-01-13
Brasov,pm10,23.79,2024-01-14
Brasov,pm10,27.53,2024-01-15
Brasov,pm10,27.33,2024-01-16
Brasov,pm10,28.28,2024-01-17
Brasov,pm10,26.96,2024-01-18
Brasov,pm10,27.66,2024-01-19
Brasov,pm10,28.79,2024-01-20
Brasov,pm10,27.04,2024-01-21
Brasov,pm10,26.48,2024-01-22
Brasov,pm10,28.49,2024-01-23
Brasov,pm10,25.65,2024-01-24
Brasov,pm10,25.71,2024-01-25
Brasov,pm10,25.88,2024-01-26
Brasov,pm10,29.46,2024-01-27
Brasov,pm10,26.93,2024-01-28
Brasov,pm10,29.68,2024-01-29
Brasov,pm10,28.77,2024-01-30
Brasov,pm10,28.52,2024-01-31
Brasov,pm10,25.99,2024-02-01
Brasov,pm10,28.44,2024-02-02
Brasov,pm10,26.09,2024-02-03
Brasov,pm10,28.77,2024-02-04
Brasov,pm10,25.47,2024-02-05
Brasov,pm10,29.13,2024-02-06
Brasov,pm10,25.9,2024-02-07
Brasov,pm10,26.12,2024-02-08
Brasov,pm10,27.15,2024-02-09
Brasov,pm10,27.1,2024-02-10
Brasov,pm10,27.52,2024-02-11
Brasov,pm10,30.15,2024-02-12
Brasov,pm10,27.61,2024-02-13
Brasov,pm10,28.36,2024-02-14
Brasov,pm10,27.0,2024-02-15
Brasov,pm10,27.7,2024-02-16
Brasov,pm10,27.87,2024-02-17
Brasov,pm10,30.18,2024-02-18
Brasov,pm10,29.18,2024-02-19
Brasov,pm10,30.29,2024-02-20
Brasov,pm10,28.74,2024-02-21
Brasov,pm10,29.57,2024-02-22
Brasov,pm10,27.84,2024-02-23
Brasov,pm10,30.26,2024-02-24
Brasov,pm10,27.39,2024-02-25
Brasov,pm10,28.69,2024-02-26
Brasov,pm10,28.04,2024-02-27
Brasov,pm10,29.11,2024-02-28
Brasov,pm10,27.28,2024-02-29
Brasov,pm10,29.51,2024-03-01
Brasov,pm10,30.67,2024-03-02
Brasov,pm10,28.94,2024-03-03
Brasov,pm10,28.86,2024-03-04
Brasov,pm10,27.7,2024-03-05
Brasov,pm10,31.32,2024-03-06
Brasov,pm10,31.73,2024-03-07
Brasov,pm10,32.73,2024-03-08
Brasov,pm10,31.46,2024-03-09
Brasov,pm10,32.06,2024-03-10
Brasov,pm10,29.89,2024-03-11
Brasov,pm10,28.99,2024-03-12
Brasov,pm10,28.81,2024-03-13
Brasov,pm10,29.08,2024-03-14
Brasov,pm10,32.37,2024-03-15
Brasov,pm10,32.13,2024-03-16
Brasov,pm10,28.9,2024-03-17
Brasov,pm10,33.06,2024-03-18
Brasov,pm10,30.47,2024-03-19
Brasov,pm10,28.92,2024-03-20
Brasov,pm10,33.36,2024-03-21
Brasov,pm10,32.49,2024-03-22
Brasov,pm10,31.29,2024-03-23
Brasov,pm10,30.2,2024-03-24
Brasov,pm10,34.15,2024-03-25
Brasov,pm10,32.88,2024-03-26
Brasov,pm10,33.9,2024-03-27
Brasov,pm10,30.85,2024-03-28
Brasov,pm10,32.43,2024-03-29
Brasov,pm10,31.01,2024-03-30
Brasov,pm25,14.15,2024-01-01
Brasov,pm25,12.44,2024-01-02
Brasov,pm25,9.88,2024-01-03
Brasov,pm25,10.53,2024-01-04
Brasov,pm25,10.61,2024-01-05
Brasov,pm25,11.6,2024-01-06
Brasov,pm25,12.07,2024-01-07
Brasov,pm25,10.73,2024-01-08
Brasov,pm25,10.87,2024-01-09
Brasov,pm25,15.21,2024-01-10
Brasov,pm25,10.76,2024-01-11
Brasov,pm25,12.67,2024-01-12
Brasov,pm25,14.5,2024-01-13
Brasov,pm25,10.58,2024-01-14
Brasov,pm25,11.65,2024-01-15
Brasov,pm25,10.71,2024-01-16
Brasov,pm25,12.27,2024-01-17
